question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
How long does it take to make Greek coffee?,deepset/roberta-base-squad2,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.39691779,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,about 4 minutes,About 4 minutes,about 4 minutes,about 4 minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.397811234,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.700578868,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,about 4 minutes,About 4 minutes,about 4 minutes,about 4 minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.377554804,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.667894185,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.697542131,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,deepset/minilm-uncased-squad2,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.441304833,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,about 4 minutes,About 4 minutes,about 4 minutes,about 4 minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.447517991,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.532991827,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,4 minutes,About 4 minutes,4 minutes,about 4 minutes,4 λεπτά,Περίπου 4 λεπτά,0.581887484,0.927,0.6,0.75,0.961,0.945,0.8,0.8648,yes,yes,yes
What do we need to make espresso?,deepset/roberta-base-squad2,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.798462629,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.795988202,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
,distilbert-base-cased-distilled-squad,hot cups and a hot machine,Hot cups and hot machine,hot cups and a hot machine,hot cups and hot machine,ζεστά κύπελλα και μια καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.836657166,0.983,0.923,0.96,0.994,0.902,0.727272727,0.927954545,yes,yes,yes
