question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,confidence_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
How long does it take to make Greek coffee?,deepset/roberta-base-squad2,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.394022137,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,about 4 minutes,About four minutes.,about 4 minutes,about four minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.434721828,0.904,0.778,0.848,0.983,1,0.666666667,0.869933333,yes,yes,yes
,distilbert-base-cased-distilled-squad,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.738133967,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,about 4 minutes,About four minutes.,about 4 minutes,about four minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.417387515,0.904,0.778,0.848,0.983,1,0.666666667,0.869933333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.686344802,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.719132662,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,deepset/minilm-uncased-squad2,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.449347317,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,about 4 minutes,About four minutes.,about 4 minutes,about four minutes,περίπου 4 λεπτά,Περίπου 4 λεπτά,0.402567297,0.904,0.778,0.848,0.983,1,0.666666667,0.869933333,yes,yes,yes
,deepset/bert-base-cased-squad2,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.499428838,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,4 minutes,About four minutes.,4 minutes,about four minutes,4 λεπτά,Περίπου 4 λεπτά,0.587300837,0.792,0.444,0.593,0.946,0.945,0.4,0.7205,yes,yes,yes
What do we need to make espresso?,deepset/roberta-base-squad2,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.845858574,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.828366876,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,distilbert-base-cased-distilled-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.917895794,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.809715688,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
,distilbert-base-uncased-distilled-squad,hot cups and hot machine,Hot cups and hot machine,hot cups and hot machine,hot cups and hot machine,ζεστά κύπελλα και καυτή μηχανή,Ζεστά φλιτζάνια και ζεστή μηχανή,0.837895632,1,1,1,1,0.934,0.8,0.96,yes,yes,yes
